I now have a complete, cross-checked picture. Summary of my method:
    "src/main/java/com/fasterxml/jackson/databind/ser/std/SqlTimeSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/SerializableSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/ObjectArraySerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/InetAddressSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/InetSocketAddressSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/CollectionSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/JsonValueSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/CalendarSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/ByteArraySerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/UnknownSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/RawSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/BooleanSerializer.java:BooleanSerializer.serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/BooleanSerializer.java:AsNumber.serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/MapSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/IteratorSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/StdJdkSerializers.java:AtomicBooleanSerializer.serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/StdJdkSerializers.java:AtomicIntegerSerializer.serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/StdJdkSerializers.java:AtomicLongSerializer.serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/EnumSetSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/UnsupportedTypeSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/NumberSerializer.java:NumberSerializer.serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/NumberSerializer.java:BigDecimalAsStringSerializer.serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/StdKeySerializers.java:Default.serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/StdKeySerializers.java:Dynamic.serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/StdKeySerializers.java:StringKeySerializer.serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/StdKeySerializers.java:EnumKeySerializer.serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/NumberSerializers.java:ShortSerializer.serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/NumberSerializers.java:IntegerSerializer.serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/NumberSerializers.java:IntLikeSerializer.serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/NumberSerializers.java:LongSerializer.serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/NumberSerializers.java:FloatSerializer.serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/NumberSerializers.java:DoubleSerializer.serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/ReferenceTypeSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/UUIDSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/StdDelegatingSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/IndexedListSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/FailingSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/ClassSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/ByteBufferSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/IndexedStringListSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/StringArraySerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/BeanAsArraySerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/UnwrappingBeanSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/MapEntrySerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/StringCollectionSerializer.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/TypeWrappedSerializer.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/contextual/ContextualKeyTypesTest.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/contextual/ContextAttributeWithSerTest.java:serialize",
    "src/test-jdk17/java/com/fasterxml/jackson/databind/records/RecordJsonSerDeser188Test.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/contextual/ContextualSerializationTest.java:serialize@L135",
    "src/test/java/com/fasterxml/jackson/databind/contextual/ContextualSerializationTest.java:serialize@L174",
    "src/test/java/com/fasterxml/jackson/databind/contextual/ContextualSerializationTest.java:serialize@L204",
    "src/test/java/com/fasterxml/jackson/databind/HandlerInstantiationTest.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/convert/ConvertingSerializerTest.java:serialize",
    "src/test/java/perf/ManualWritePerfWithUUID.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/introspect/JacksonAnnotationIntrospectorTest.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/module/TestTypeModifiers.java:serialize@L90",
    "src/test/java/com/fasterxml/jackson/databind/module/TestTypeModifiers.java:serialize@L144",
    "src/test/java/com/fasterxml/jackson/databind/module/TestTypeModifiers.java:serialize@L176",
    "src/test/java/com/fasterxml/jackson/databind/seq/PolyMapWriter827Test.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/module/TestCustomEnumKeyDeserializer.java:serialize@L63",
    "src/test/java/com/fasterxml/jackson/databind/module/TestCustomEnumKeyDeserializer.java:serialize@L103",
    "src/test/java/com/fasterxml/jackson/databind/util/TokenBufferTest.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/module/SimpleModuleTest.java:serialize@L45",
    "src/test/java/com/fasterxml/jackson/databind/module/SimpleModuleTest.java:serialize@L81",
    "src/test/java/com/fasterxml/jackson/databind/module/SimpleModuleTest.java:serialize@L123",
    "src/test/java/com/fasterxml/jackson/databind/module/SimpleModuleTest.java:serialize@L222",
    "src/test/java/com/fasterxml/jackson/databind/module/SimpleModuleTest.java:serialize@L229",
    "src/test/java/com/fasterxml/jackson/databind/module/SimpleModuleAddMethodsTest.java:serialize@L48",
    "src/test/java/com/fasterxml/jackson/databind/module/SimpleModuleAddMethodsTest.java:serialize@L62",
    "src/test/java/com/fasterxml/jackson/databind/module/SimpleModuleAddMethodsTest.java:serialize@L83",
    "src/test/java/com/fasterxml/jackson/databind/module/SimpleModuleAddMethodsTest.java:serialize@L97",
    "src/test/java/com/fasterxml/jackson/databind/node/JsonNodeConversionsTest.java:serialize@L60",
    "src/test/java/com/fasterxml/jackson/databind/node/JsonNodeConversionsTest.java:serialize@L68",
    "src/test/java/com/fasterxml/jackson/databind/node/POJONodeTest.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/deser/CustomDeserializersTest.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/ser/BeanSerializerModifierTest.java:serialize@L142",
    "src/test/java/com/fasterxml/jackson/databind/ser/BeanSerializerModifierTest.java:serialize@L199",
    "src/test/java/com/fasterxml/jackson/databind/ser/BeanSerializerModifierTest.java:serialize@L211",
    "src/test/java/com/fasterxml/jackson/databind/ser/BeanSerializerModifierTest.java:serialize@L223",
    "src/test/java/com/fasterxml/jackson/databind/ser/BeanSerializerModifierTest.java:serialize@L235",
    "src/test/java/com/fasterxml/jackson/databind/ser/BeanSerializerModifierTest.java:serialize@L247",
    "src/test/java/com/fasterxml/jackson/databind/ser/TestJsonSerialize2.java:serialize@L46",
    "src/test/java/com/fasterxml/jackson/databind/ser/TestJsonSerialize2.java:serialize@L54",
    "src/test/java/com/fasterxml/jackson/databind/jsontype/jdk/TypeRefinementForMapTest.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/jsontype/TestWithGenerics.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/ser/filter/NullSerializationTest.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/deser/jdk/CustomMapKeys2454Test.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/ser/filter/JsonInclude4464Test.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/ser/EnumAsMapKeyTest.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/ser/TestJsonSerialize.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/ser/JsonValueSerializationTest.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/ser/TestEmptyClass.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/exc/TestExceptionsDuringWriting.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/ser/TestJsonSerialize3.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/ser/AnyGetterTest.java:serialize@L95",
    "src/test/java/com/fasterxml/jackson/databind/ser/AnyGetterTest.java:serialize@L134",
    "src/test/java/com/fasterxml/jackson/databind/ser/jdk/MapKeySerializationTest.java:serialize@L32",
    "src/test/java/com/fasterxml/jackson/databind/ser/jdk/MapKeySerializationTest.java:serialize@L94",
    "src/test/java/com/fasterxml/jackson/databind/ser/jdk/MapKeySerializationTest.java:serialize@L105",
    "src/test/java/com/fasterxml/jackson/databind/ser/jdk/MapKeySerializationTest.java:serialize@L115",
    "src/test/java/com/fasterxml/jackson/databind/ser/jdk/MapKeySerializationTest.java:serialize@L123",
    "src/test/java/com/fasterxml/jackson/databind/ser/TestCustomSerializers.java:serialize@L41",
    "src/test/java/com/fasterxml/jackson/databind/ser/TestCustomSerializers.java:serialize@L126",
    "src/test/java/com/fasterxml/jackson/databind/ser/TestCustomSerializers.java:serialize@L139",
    "src/test/java/com/fasterxml/jackson/databind/ser/TestCustomSerializers.java:serialize@L272",
    "src/test/java/com/fasterxml/jackson/databind/ser/jdk/CollectionSerializationTest.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/ser/SerializationAnnotationsTest.java:serialize@L108",
    "src/test/java/com/fasterxml/jackson/databind/ser/SerializationAnnotationsTest.java:serialize@L118",
    "src/test/java/com/fasterxml/jackson/databind/ser/jdk/NumberSerTest.java:serialize@L104",
    "src/test/java/com/fasterxml/jackson/databind/ser/jdk/NumberSerTest.java:serialize@L113",
    "src/test/java/com/fasterxml/jackson/databind/ser/jdk/MapSerializationTest.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/ser/jdk/EnumSerializationTest.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/ser/jdk/IterableSerializationTest.java:serialize",
    "src/test/java/com/fasterxml/jackson/databind/ser/jdk/AtomicTypeSerializationTest.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/SerializerProvider.java:defaultSerializeValue",
    "src/main/java/com/fasterxml/jackson/databind/SerializerProvider.java:defaultSerializeField",
    "src/main/java/com/fasterxml/jackson/databind/SerializerProvider.java:defaultSerializeNull",
    "src/main/java/com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java:serializeAsField",
    "src/main/java/com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java:serializeAsElement",
    "src/main/java/com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java:serializeAsPlaceholder",
    "src/main/java/com/fasterxml/jackson/databind/ser/BeanPropertyWriter.java:_handleSelfReference",
    "src/main/java/com/fasterxml/jackson/databind/ser/DefaultSerializerProvider.java:_serialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/DefaultSerializerProvider.java:_serializeNull",
    "src/main/java/com/fasterxml/jackson/databind/ser/VirtualBeanPropertyWriter.java:serializeAsField",
    "src/main/java/com/fasterxml/jackson/databind/ser/VirtualBeanPropertyWriter.java:serializeAsElement",
    "src/main/java/com/fasterxml/jackson/databind/ser/AnyGetterWriter.java:getAndSerialize",
    "src/main/java/com/fasterxml/jackson/databind/ser/AnyGetterWriter.java:getAndFilter",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/UnwrappingBeanPropertyWriter.java:serializeAsField",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/WritableObjectId.java:writeAsId",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/WritableObjectId.java:writeAsField",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/MapSerializer.java:serializeFields",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/MapSerializer.java:serializeOptionalFields",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/MapSerializer.java:serializeFieldsUsing",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/MapSerializer.java:serializeTypedFields",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/MapSerializer.java:_writeNullKeyedEntry",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/MapProperty.java:serializeAsField",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/MapProperty.java:serializeAsElement",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/MapEntrySerializer.java:serializeDynamic",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/CollectionSerializer.java:serializeContents",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/CollectionSerializer.java:serializeContentsUsing",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/IteratorSerializer.java:serializeContents",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/IteratorSerializer.java:_serializeDynamicContents",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/IndexedListSerializer.java:serializeContents",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/IndexedListSerializer.java:serializeContentsUsing",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/EnumSetSerializer.java:serializeContents",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/ObjectArraySerializer.java:serializeContents",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/ObjectArraySerializer.java:serializeContentsUsing",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/IterableSerializer.java:serializeContents",
    "src/main/java/com/fasterxml/jackson/databind/ser/impl/StringArraySerializer.java:serializeContentsSlow",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/JsonValueSerializer.java:serializeWithType",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/BeanSerializerBase.java:_serializeWithObjectId",
    "src/main/java/com/fasterxml/jackson/databind/util/JSONWrappedObject.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/util/JSONPObject.java:serialize",
    "src/main/java/com/fasterxml/jackson/databind/ext/NioPathSerializer.java:serializeWithType",
    "src/main/java/com/fasterxml/jackson/databind/ext/CoreXMLSerializers.java:XMLGregorianCalendarSerializer.serializeWithType",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/TokenBufferSerializer.java:serializeWithType",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/NonTypedScalarSerializerBase.java:serializeWithType",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/TimeZoneSerializer.java:serializeWithType",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/InetAddressSerializer.java:serializeWithType",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/RawSerializer.java:serializeWithType",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/ReferenceTypeSerializer.java:serializeWithType",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/StdScalarSerializer.java:serializeWithType",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/NumberSerializers.java:IntegerSerializer.serializeWithType",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/ToStringSerializerBase.java:serializeWithType",
    "src/main/java/com/fasterxml/jackson/databind/ser/std/InetSocketAddressSerializer.java:serializeWithType"
  ],
  "complete": true,
  "unresolved": [
    "DefaultSerializerProvider.java:_serialize has two overloads (lines 490 and 502: _serialize(JsonGenerator,Object,JsonSerializer,PropertyName) and _serialize(JsonGenerator,Object,JsonSerializer)); both call the changing method and both must change, listed as one symbol entry.",
    "Whether each call site must change TEXTUALLY depends on the exact nature of the signature change: a pure exception-type change (e.g. IOException->JacksonException) may leave propagating call sites compiling unchanged, whereas a parameter add/remove/retype forces every listed call site to change. All call sites are included as requested.",
    "serializeWithType overrides are included only as call sites (they invoke serialize(value,gen,provider)); if the signature change also retypes their shared 'provider'/'gen' parameters, additional serializeWithType methods that merely forward to serializeWithType (not enumerated here) could be indirectly affected, but no such method directly calls the changing serialize method."
  ]
}
